country	latitude	longitude	name
AD	42.546245	1.601554	Andorra
AE	23.424076	53.847818	United Arab Emirates
AF	33.93911	67.709953	Afghanistan
AG	17.060816	-61.796428	Antigua and Barbuda
AI	18.220554	-63.068615	Anguilla
AL	41.153332	20.168331	Albania
AM	40.069099	45.038189	Armenia
AN	12.226079	-69.060087	Netherlands Antilles
AO	-11.202692	17.873887	Angola
AQ	-75.250973	-0.071389	Antarctica
AR	-38.416097	-63.616672	Argentina
AS	-14.270972	-170.132217	American Samoa
AT	47.516231	14.550072	Austria
AU	-25.274398	133.775136	Australia
AW	12.52111	-69.968338	Aruba
AZ	40.143105	47.576927	Azerbaijan
BA	43.915886	17.679076	Bosnia and Herzegovina
BB	13.193887	-59.543198	Barbados
BD	23.684994	90.356331	Bangladesh
BE	50.503887	4.469936	Belgium
BF	12.238333	-1.561593	Burkina Faso
BG	42.733883	25.48583	Bulgaria
BH	25.930414	50.637772	Bahrain
BI	-3.373056	29.918886	Burundi
BJ	9.30769	    2.315834	Benin
BM	32.321384	-64.75737	Bermuda
BN	4.535277	114.727669	Brunei
BO	-16.290154	-63.588653	Bolivia
BR	-14.235004	-51.92528	Brazil
BS	25.03428	-77.39628	Bahamas
BT	27.514162	90.433601	Bhutan
BV	-54.423199	3.413194	Bouvet Island
BW	-22.328474	24.684866	Botswana
BY	53.709807	27.953389	Belarus
BZ	17.189877	-88.49765	Belize
CA	56.130366	-106.346771	Canada
CC	-12.164165	96.870956	Cocos [Keeling] Islands
CD	-4.038333	21.758664	Congo [DRC]
CF	6.611111	20.939444	Central African Republic
CG	-0.228021	15.827659	Congo [Republic]
CH	46.818188	8.227512	Switzerland
CI	7.539989	-5.54708	Côte d'Ivoire
CK	-21.236736	-159.777671	Cook Islands
CL	-35.675147	-71.542969	Chile
CM	7.369722	12.354722	Cameroon
CN	35.86166	104.195397	China
CO	4.570868	-74.297333	Colombia
CR	9.748917	-83.753428	Costa Rica
CU	21.521757	-77.781167	Cuba
CV	16.002082	-24.013197	Cape Verde
CX	-10.447525	105.690449	Christmas Island
CY	35.126413	33.429859	Cyprus
CZ	49.817492	15.472962	Czech Republic
